Search kospi: 
 code:900050 | X | X | X | O | O | O | O | O || ........ |
 code:000020 | X | X | X | O | O | O | O | O || ........ |
 code:000030 | O | O | O | X | O | O | O | O || ........ |
 code:000040 | X | X | O | O | O | O | O | O || ........ |
 code:000050 | O | X | O | O | O | O | O | O || ........ |
 code:000060 | X | O | O | O | O | O | O | X || ........ |
 code:000070 | X | X | X | O | O | O | O | O || ........ |
 code:000075 | X | X | O | O | X | O | X | O || ........ |
 code:000080 | O | X | O | X | O | O | O | X || ........ |
 code:000087 | X | X | O | O | O | O | O | O || ........ |
 code:000100 | O | X | O | X | X | O | O | O || ........ |
 code:000105 | X | X | X | O | O | O | O | O || ........ |
 code:000120 | O | X | X | O | X | O | O | O || ........ |
 code:000140 | X | X | O | O | O | O | O | O || ........ |
 code:000145 | X | X | O | O | O | O | O | O || ........ |
 code:000150 | X | O | X | X | O | O | O | O || ........ |
 code:000155 | X | X | O | O | X | X | O | O || ........ |
 code:000157 | X | X | O | X | O | O | O | O || ........ |
 code:000180 | X | X | O | X | O | O | O | O || ........ |
 code:000210 | O | X | O | O | X | X | O | O || ........ |
 code:000215 | X | O | X | O | O | O | O | O || ........ |
 code:000220 | X | X | X | X | O | O | O | O || ........ |
 code:000225 | X | X | O | O | O | O | O | O || ........ |
 code:000227 | X | X | O | X | O | O | O | O || ........ |
 code:000230 | X | X | X | X | O | O | O | O || ........ |
 code:000240 | X | X | O | X | X | X | O | O || ........ |
 code:000270 | O | X | O | O | X | X | O | O || ........ |
 code:000300 | X | X | X | O | O | O | O | O || ........ |
 code:000320 | X | X | O | O | O | O | O | O || ........ |
 code:000325 | X | X | O | O | X | X | X | O || ........ |
 code:000327 | X | X | X | O | O | O | O | O || ........ |
 code:000370 | X | O | X | O | X | X | O | X || ........ |
 code:000390 | X | X | O | O | O | O | O | O || ........ |
 code:000400 | X | O | X | X | O | O | O | O || ........ |
 code:000430 | X | X | X | X | O | O | O | O || ........ |
 code:000480 | X | O | O | O | O | O | O | O || ........ |
 code:000490 | X | X | O | O | O | O | O | O || ........ |
 code:000500 | X | X | X | O | X | O | O | O || ........ |
 code:000520 | X | X | X | X | O | O | O | O || ........ |
 code:000540 | X | O | O | X | X | X | X | X || ........ |
 code:000545 | X | X | O | O | X | O | O | O || ........ |
 code:000547 | X | O | O | O | O | O | O | O || ........ |
 code:000590 | X | O | O | O | O | O | O | O || ........ |
 code:000640 | X | X | X | O | X | O | O | O || ........ |
 code:000650 | X | X | X | X | O | O | O | O || ........ |
 code:000660 | O | O | O | X | O | O | O | O || ........ |
 code:000670 | X | X | O | O | X | X | X | X || ........ |
 code:000680 | X | X | X | O | O | O | O | O || ........ |
 code:000700 | X | X | X | X | O | O | O | O || ........ |
 code:000720 | O | O | O | O | X | X | O | O || ........ |
 code:000725 | X | O | O | X | X | X | X | X || ........ |
 code:000760 | X | X | X | O | O | O | O | O || ........ |
 code:000810 | O | O | O | O | O | O | O | O || ok_rslt0 |
 code:000815 | X | O | O | O | X | X | O | O || ........ |
